Id,Name,
94,Tuhaf Heykel,
501,Barbara,
502,Diona,
503,Thoma,
504,Sayu,
505,Gorou,
506,Beidou,
507,Ningguang,
508,Ningguang,
509,Yun Jin,
1001,Venti,
1002,Amber,
1003,Patron,
1004,Kaeya,
30057,Kaeya,
1005,Paimon,
1006,Jean,
30058,Jean,
1007,Lisa,
30059,Lisa,
1008,Barbara,
30060,Barbara,
1009,Diluc,
30061,Diluc,
1010,Fırtına Dehşeti,
1011,Razor,
30062,Razor,
1012,Xiangling,
1013,Kamisato Ayaka,
1014,Kaeya,
1015,Ganyu,
1016,Keqing,
1017,Sinyora,
1018,Albedo,
30056,Albedo,
1019,Sucrose,
1020,Rosaria,
1021,Hu Tao,
1022,Dainsleif,
1023,Chongyun,
1024,Bennett,
1025,Aether,
1026,Lumine,
1027,Noelle,
1028,Bennett,
1029,Eula,
1030,Yanfei,
1031,Beidou,
1032,Kaedehara Kazuha,
1033,Thoma,
1034,Yae Miko,
1035,Yoimiya,
1036,Şogun Raiden,
1037,Sangonomiya Kokomi,
1038,Kujou Sara,
1039,Gorou,
1040,Sayu,
1041,Chongyun,
1042,Xinyan,
1043,Guoba,
1044,Arataki Itto,
1045,Shenhe,
1046,Yun Jin,
1118,Üzgün Dağ Yabanisi,
1151,Tutsak Vatandaşlar,
1160,Yeşilli Kişi,
1161,Gotelinde,
1162,Otto,
1163,Miles,
1164,Otto,
1165,Yaralı Kurt,
1176,Poyraz,
1177,Dvalin,
1178,Hiçlik Büyücüsü,
1179,Charles,
1181,???,
1201,Yedilerin Heykeli,
1202,Yedilerin Heykeli,
1203,Yedilerin Heykeli,
1204,Yedilerin Heykeli,
1205,Yedilerin Heykeli,
1206,Yedilerin Heykeli,
1207,Yedilerin Heykeli,
1208,Yedilerin Heykeli,
1209,Yedilerin Heykeli,
1210,Cyrus,
1211,Stanley,
1212,Jack,
1213,Vile,
1214,Izzard,
1215,Favonius Şövalyesi,
1216,Dr. Livingstone,
1217,Şehir Kapısı Muhafızı,
1218,Huffman,
1219,Sorgula,
1234,???,
1240,Favonius Şövalyesi,
1241,Lynn,
1242,Connor,
1243,Paimon,
1244,Mondstadt Gıda Pazarı Sipariş Panosu,
1245,Kedi Kuyruğu Hanı Mesaj Panosu,
1246,Kedi Kuyruğu Hanı Afişi,
1247,Not,
1248,İş İlanları Panosu,
1249,Kütüphane Kuralları,
1250,Not,
1251,Pano,
1252,Not,
1253,Tabela,
1254,Tabela,
1255,Oyma İşaretleri,
1256,Farrah,
1260,???,
1261,Kalabalık,
1262,Pano,
1263,Araba,
1264,Araba,
1265,Araba,
1266,Araba,
1267,Araba,
1268,Yedilerin Heykeli,
1269,Dokun,
1270,Dokun,
1271,Dokun,
1272,Yedilerin Heykeli,
1273,Yedilerin Heykeli,
1274,Yedilerin Heykeli,
1275,Yedilerin Heykeli,
1276,Yedilerin Heykeli,
1277,Yedilerin Heykeli,
1278,Yedilerin Heykeli,
1279,Yedilerin Heykeli,
1280,Yedilerin Heykeli,
1281,Yedilerin Heykeli,
1305,Animasyon Testi Paimon 1,
1401,Beatrice,
1403,Quinn,
1404,Quinn,
1405,Anna,
1408,Anthony,
1409,Cyrus,
1410,Cyrus,
1411,Stanley,
1412,Stanley,
1413,Jack,
1414,Jack,
1417,Wagner,
1419,Sara,
1421,Michelle,
1423,Blanche,
1425,Flora,
1427,Donna,
1429,Grace,
1430,Grace,
1431,Margaret,
1433,Huffman,
1435,Marjorie,
1437,Swan,
1439,Lawrence,
1441,Guy,
1443,Otto,
1445,Aramis,
1447,Raymond,
1449,Miles,
1451,Monroe,
1453,Susie,
1455,Norma,
1457,Athos,
1459,Porthos,
1461,Nimrod,
1463,Eury,
1465,Charles,
1467,Patton,
1469,Alfry,
1471,Victoria,
1473,Jilliana,
1475,Payne,
1477,Nelson,
1479,Lynn,
1480,NPC Animasyon Testi 1 - Erkek,
1481,NPC Animasyon Testi 2 - Kadın,
1482,NPC Animasyon Testi 3 - Kadın,
1483,Otto,
1485,Avcı,
1486,Paimon,
1487,Anastasia,
1501,Fatui Muhafızı,
1502,Fatui Yüzbaşısı,
1503,Korkak Muhafız,
1504,Açgözlü Muhafız,
1505,Dağ Yabanisi,
1506,Dağ Yabanisi,
1507,Dağ Yabanisi,
1508,Açgözlü Muhafız 3,
1509,Korkak Muhafız 4,
1510,Fatui Muhafızı 5,
1511,Fatui Muhafızı 6,
1512,Katheryne,
1513,Baykuş Heykeli,
1514,Tuhaf Vazo,
1517,Viktor,
1519,Luke,
1521,Glory,
1523,Altı Parmaklı José,
1525,Vile,
1527,Elzer,
1529,Connor,
1531,Adelinde,
1533,Tunner,
1535,Ernest,
1537,Draff,
1539,Allan,
1541,Brook,
1543,Muhteşem Hopkins,
1545,Marla,
1547,Ylgr,
1549,Farrah,
1551,Wyatt,
1553,Godwin,
1555,Dr. Edith,
1557,Ulfr,
1559,Lorgar,
1561,Mack,
1563,Dr. Livingstone,
1565,Ella Musk,
1567,Timmie,
1569,Arthur,
1570,Telaşlı Myrana,
1571,Korkmuş Magar,
1572,Korkmuş Kersh,
1573,Korkmuş Schuster,
1574,Dertli Telfair,
1575,Korkak Morrow,
1576,Asabi Wallit,
1577,Pervasız Pallad,
1578,Dertli Lianne,
1579,Tembel Angelo,
1581,Vind,
1583,Harry,
1585,Hızlı Ross,
1587,Timaeus,
1589,Meraklı Patchi,
1591,Doolan,
1592,Greg,
1593,Çalışkan Silio,
1594,Neşeli Orlean,
1595,Hillie,
1596,Moco,
1597,Jill,
1598,Will,
1599,Lily,
1600,Rudolf,
1601,Nora,
1602,Albert,
1603,Bruce,
1604,Herman,
1605,Ellin,
1606,Goth,
1607,Marvin,
1608,Pepe,
1609,Marvin,
1610,Marla,
1611,Dandy,
1612,Soraya,
1613,Echo,
1615,Qiaoxi,
1616,Minik Liu,
1617,Minik Xing,
1618,Doudou,
1619,Minik Zuo,
1620,Minik You,
1621,Ruoxin Nine,
1622,Yundan,
1623,"Soğuk Kılıç" Hanfeng,
1624,Dokuzuncu Chang,
1625,Jifang,
1626,Soylu Maocai,
1627,Xu,
1628,Güçlü Shizhuang,
1629,Bay Zhu,
1630,Olaf,
1631,Siegfria,
1632,Jotun,
1638,Schulz,
1639,Sharp,
1640,Shiliu,
1641,Xi'er,
1642,Sayid,
1643,Alfred,
1644,Helen,
1645,Sansa,
1646,Mikhail,
1647,Lyudmila,
1648,Wyratt,
1649,Wood,
1650,İhtiyar Finch,
1651,Kibar Ses,
1652,Ahura,
1653,Myweiss,
1654,Çareviç,
1655,Pavel,
1656,Cesur Jack,
1657,Chloris,
1658,Davy,
1659,Elektrik Cicin Büyücüsü,
1660,Sage,
1661,Rosemary,
1662,Parsley,
1663,Hertha,
1664,Harris,
1665,Iris,
1666,Esther,
1667,Orban,
1668,Joel,
1669,Stevens,
1670,Knotty,
1671,Riese,
1672,Tommy,
1673,Nantuck,
1674,Joserf,
2001,Zhihua,
2002,Yong'an,
2003,Tian Amca,
2004,Müdür Xiao,
2005,Çekiç Li,
2006,Gou San'er,
2007,Yi Zhu,
2008,Wei,
2009,Soylu De'an,
2010,Çay Ustası Liu Su,
2011,Fan Er'ye,
2012,Asabi Ann,
2013,Bolai,
2014,Musheng,
2015,Qiming,
2016,Lahn,
2017,Linling,
2018,Yi Xian,
2019,Bayan Qing,
2020,Xingxi,
2021,Huihui,
2022,Licai,
2023,Linlang,
2024,Yuxiu,
2025,Changchang,
2026,Jiangzhou,
2027,Chenxiang,
2028,Hongdou,
2029,Huixin,
2030,Minik Fei,
2031,Minik Meng,
2032,Bibo,
2033,Zhang Shun,
2034,Gao Amca,
2035,Sun Amca,
2036,Guanhai,
2037,Chaoxi,
2038,Kerpeten Wang,
2039,Qian Birader,
2040,Degui,
2041,Kaptan Wu,
2042,Xiangming,
2043,Baltalı Mızrak,
2044,Ustura Chen,
2045,Şef Mao,
2046,Geri,
2047,Qian,
2048,Zhang Usta,
2049,Dugu Shuo,
2050,Sünepe,
2051,Mu Chen,
2052,Gao Fei,
2053,Bay Qiang,
2054,Shitou,
2055,Koca Ayak Dajiao,
2056,Jiayi,
2057,Yicheng,
2058,Hongyi,
2059,Vlad,
2060,Hao,
2062,Changhu,
2063,Francis,
2064,Hongyu,
2065,Kun,
2066,Chaonan,
2067,Andrei,
2068,Ren'yu,
2069,Jinzhong,
2070,Tieshan,
2071,Fengyan,
2072,Ivanovich,
2073,Gürbüz Wu,
2074,Minik Lulu,
2075,Fuliu,
2076,Sisi,
2077,Atsuko,
2078,Katheryne,
2079,Zhiruo,
2080,Diş,
2081,Su Er'niang,
2082,Freki,
2083,Ying'er,
2084,Kayıkçı,
2085,Katip Zhao,
2086,Nadia,
2087,Yueshu,
2088,Maceracı Kadın,
2089,İbadet Eden Kadın,
2090,Changshun,
2091,Xiuhua,
2092,Shan Nine,
2093,Madam Ping,
2094,Gongming,
2095,Siyu,
2096,Tiantian,
2097,Chunshui,
2098,Yiran,
2099,Müdür Kuan,
2100,Cai Le,
2101,Cai Xun,
2102,Chuyi,
2103,Otacı Gui,
2104,Demir Omuz,
2105,Jingda,
2106,Dişsiz,
2107,Karabaş,
2108,Hulu,
2109,Miskin,
2110,Carpe Diem,
2111,Qiao Teyze,
2112,Qingbai,
2113,Wuwang,
2114,Zhuyu,
2115,Qinglian,
2116,Yikuo,
2117,Süpermarketçi,
2118,Mengmeng,
2119,Yu,
2120,Fugui,
2121,Zhenxiang,
2122,Wei Fengchen,
2123,Jiu,
2124,Zhen Qiang,
2125,Büyük Tüccar Huang,
2126,Xuanfan,
2127,Xiling,
2128,Madam Qin,
2129,Holderlin,
2130,Moli,
2131,Usta Hui,
2132,Hizmetçi Xi,
2133,Caspar,
2134,Yıldızların Efendisi,
2135,Ghast Amca,
2136,Minik Luo,
2137,Jiangcheng,
2138,Bayan Bai,
2139,Zhi,
2140,Baixiao,
2141,Zhenhai,
2142,Baishi,
2143,Baiwen,
2144,Bay Qi,
2145,Ekaterina,
2146,Hongru,
2147,Heli,
2148,Demir Dil Tian,
2149,Minik Yi,
2150,Liben,
