10000001,Kate
10000002,Kamisato Ayaka
10000003,Jean
10000005,Viajero
10000006,Lisa
10000007,Viajera
10000014,Bárbara
10000015,Kaeya
10000016,Diluc
10000020,Razor
10000021,Amber
10000022,Venti
10000023,Xiangling
10000024,Beidou
10000025,Xingchiu
10000026,Xiao
10000027,Ninguang
10000029,Klee
10000030,Zhongli
10000031,Fischl
10000032,Bennett
10000033,Tartaglia
10000034,Noelle
10000035,Qiqi
10000036,Chongyun
10000037,Ganyu
10000038,Albedo
10000039,Diona
10000041,Mona
10000042,Keching
10000043,Sacarosa
10000044,Xinyan
10000045,Rosaria
10000046,Hu Tao
10000047,Kaedehara Kazuha
10000048,Yanfei
10000049,Yoimiya
10000050,Thoma
10000051,Eula
10000052,Shogun Raiden
10000053,Sayu
10000054,Sangonomiya Kokomi
10000055,Gorou
10000056,Kujou Sara
10000057,Arataki Itto
10000058,Yae Miko
10000059,Shikanoin Heizou
10000060,Yelan
10000061,Kirara
10000062,Aloy
10000063,Shenhe
10000064,Yun Jin
10000065,Kuki Shinobu
10000066,Kamisato Ayato
10000067,Collei
10000068,Dori
10000069,Tignari
10000070,Nilou
10000071,Cyno
10000072,Candace
10000073,Nahida
10000074,Laila
10000075,Trotamundos
10000076,Faruzán
10000077,Yaoyao
10000078,Alhacén
10000079,Dehya
10000080,Mika
10000081,Kaveh
10000082,Baizhu
10000083,Lynette
10000084,Lyney
10000085,Fréminet
11000008,Test de equipo n.º 4
11000009,Prueba de escena
11000010,Modelo desnudo #1
11000011,Hombre desnudo
11000013,Multijugador
11000017,Prueba de cuerpo de hombre adulto
11000018,Prueba de cuerpo de mujer adulta
11000019,Prueba de cuerpo de mujer joven
11000025,Akuliya
11000026,Yaoyao (prueba)
11000027,Prueba de cuerpo de mujer joven - Máquina n.º 2
11000028,Chica de la caja blanca
11000030,Gran Espadachina
11000031,Prueba de arma posterior A
11000032,Prueba de arma posterior B
11000033,Prueba de arma posterior C
11000034,Prueba de arma posterior D
11000035,Guerrera de la Lanza
11000036,Prueba de espada ligera de mujer
11000037,Caja blanca Rx
11000038,Prueba de cuerpo de hombre joven
11000039,Prueba de cuerpo de hombre adulto
11000040,Ataque Normal de personaje femenino principal
