Id,CardId,ItemId,Name,
1101,1,330000,Ganyu - La Vigía del Plenilunio,
1102,2,330023,Diona - La Cantinera Felina,
1103,3,330001,Kaeya - El Espadachín Glacial,
1104,4,330002,Chongyun - El Hielo Ardiente,
1105,5,330003,Kamisato Ayaka - La Garza de la Escarcha,
1106,6,330028,Eula - La Bailarina de las Olas,
1107,7,330048,Shenhe - La Ermitaña Sobrehumana,
1108,8,330052,Qiqi - La Resurrección del Hielo,
1201,9,330025,Bárbara - La Ídolo Radiante,
1202,10,330004,Xingchiu - El Joven Galante,
1203,11,330005,Mona - La Observadora de los Astros,
1204,12,330029,Tartaglia - Nobile,
1205,13,330030,Sangonomiya Kokomi - La Perla de la Sabiduría,
1206,14,330031,Kamisato Ayato, el Vigoroso Estratega,
1207,15,330049,Candace - La Devota Áurea,
1208,16,330057,Nilou - La Bailarina de los Lotos,
1301,17,330006,Diluc - El Amanecer Oscuro,
1302,18,330007,Xiangling - La Maestra Culinaria de Liyue,
1303,19,330008,Bennett - El Tentador del Destino,
1304,20,330009,Amber - La Caballera Exploradora,
1305,21,330010,Yoimiya - La Maestra de las Llamas,
1306,22,330032,Klee - El sol fugitivo,
1307,23,330033,Hu Tao - La Guía del Más Allá,
1308,24,330050,Yanfei - La Letrada Inocente,
1309,25,330055,Dehya - La Leona Ardiente,
1401,26,330011,Fischl - La Princesa del Juicio,
1402,27,330012,Razor - El Niño-lobo,
1403,28,330013,Keching - La Conductora del Trueno,
1404,29,330024,Cyno - El Magistrado de lo Arcano,
1405,30,330034,Beidou - La Reina del Océano sin Corona,
1406,31,330035,Kujou Sara - La Arquera Plumanegra,
1407,32,330036,Shogun Raiden - La Entidad de la Eutimia,
1408,33,330037,Yae Miko - La Kitsune Taimada,
1409,34,330053,Lisa - La Bruja de las Rosas,
1410,35,330058,Dori - La Magnate Acaudalada,
1501,36,330014,Sacarosa - La Dulzura Inofensiva,
1502,37,330015,Jean - La Caballera de Dandelion,
1503,38,330038,Venti - El bardo itinerante,
1504,39,330039,Xiao - El guardián Yaksha,
